,cpu,screen_size,ram,graphic_ram,hdd,ssd,prices,is_unified,company
151,Ryzen 7,16.0,16,4.0,0,1000,100000,0,asus
153,Core i7,15.6,16,4.0,0,1000,57879000,0,asus
154,Core i5,15.6,8,4.0,0,512,26797000,0,asus
155,Core i7,16.0,32,8.0,0,1000,65400000,0,hp
156,Core i7,15.6,16,4.0,0,1000,46900000,0,asus
157,Core i7,13.5,16,0.0,0,256,31000000,1,microsoft
158,Core i5,13.5,8,0.0,0,256,18900000,1,microsoft
159,Core i5,15.6,8,6.0,0,512,49700000,0,msi
160,Core i5,14.0,8,0.0,0,512,22300000,1,other
161,Core i5,17.3,16,4.0,0,512,46512300,0,asus
162,Core i5,13.3,8,0.0,0,512,38200000,1,asus
163,Core i7,16.0,16,6.0,0,1000,56250000,0,hp
164,Core i7,15.6,16,6.0,0,1000,111000000,0,asus
165,Celeron,14.0,4,0.0,0,256,10512300,1,asus
166,Ryzen 7,15.6,16,4.0,1000,1000,40180000,0,lenovo
167,Ryzen 5,15.6,8,0.0,0,512,17980000,1,hp
168,Ryzen 7,15.6,16,4.0,0,1000,48970000,0,asus
169,Ryzen 9,17.3,16,8.0,0,1000,83479000,0,asus
170,Core i7,15.6,16,4.0,0,512,51890000,0,dell
171,Core i7,13.5,32,0.0,0,1000,80000000,1,microsoft
172,Core i9,15.6,16,6.0,0,512,56200000,0,acer
173,Ryzen 7,15.6,16,8.0,0,1000,65333000,0,asus
174,Core i7,13.3,8,0.0,0,512,44990000,1,hp
175,Ryzen 5,16.0,8,2.0,0,512,27289000,0,asus
176,Core i7,15.6,16,4.0,0,512,23000000,0,dell
177,Core i3,15.6,8,0.0,0,256,20000000,1,asus
178,Core i5,12.4,8,0.0,0,128,20600000,1,microsoft
179,Ryzen 7,15.6,16,6.0,0,1000,51300000,0,lenovo
181,Ryzen 7,14.0,16,0.0,0,1000,49800000,1,asus
183,Core i3,15.6,8,0.0,1000,0,14188820,1,lenovo
184,Core i3,15.6,4,2.0,0,256,22500000,0,acer
185,Athlon,15.6,4,5.0,250,0,4990000,0,acer
186,Core i7,15.6,16,2.0,0,1000,31500000,0,asus
187,Core i5,15.6,8,4.0,0,512,36150000,0,asus
188,Ryzen 9,17.3,16,6.0,0,1000,64100000,0,asus
189,Core i7,15.6,32,4.0,0,1000,44960000,0,lenovo
190,Core i3,15.6,4,2.0,0,256,17300000,0,lenovo
191,Ryzen 7,15.6,16,4.0,0,512,36490000,0,asus
